S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
429,Central Area,Category 2,>200 - 500,NA,Q3 2022
430,Central Area,Category 2,>500 - 1000,NA,Q3 2022
431,Central Area,Category 1,100 & Below,NA,Q4 2022
432,Central Area,Category 1,>100 - 200,NA,Q4 2022
433,Central Area,Category 1,>1000,NA,Q4 2022
434,Central Area,Category 1,>200 - 500,NA,Q4 2022
435,Central Area,Category 1,>500 - 1000,NA,Q4 2022
436,Central Area,Category 2,100 & Below,NA,Q4 2022
437,Central Area,Category 2,>100 - 200,NA,Q4 2022
438,Central Area,Category 2,>1000,NA,Q4 2022
439,Central Area,Category 2,>200 - 500,NA,Q4 2022
440,Central Area,Category 2,>500 - 1000,NA,Q4 2022
441,Fringe Area,Category 2,100 & Below,42.78,Q1 2012
442,Fringe Area,Category 2,>100 - 200,53.32,Q1 2012
443,Fringe Area,Category 2,>1000,70.4,Q1 2012
444,Fringe Area,Category 2,>200 - 500,59.94,Q1 2012
445,Fringe Area,Category 2,>500 - 1000,59.52,Q1 2012
446,Fringe Area,Category 2,100 & Below,46.11,Q2 2012
447,Fringe Area,Category 2,>100 - 200,50.9,Q2 2012
448,Fringe Area,Category 2,>1000,31.99,Q2 2012
449,Fringe Area,Category 2,>200 - 500,59.21,Q2 2012
450,Fringe Area,Category 2,>500 - 1000,79.21,Q2 2012
451,Fringe Area,Category 2,100 & Below,45.21,Q3 2012
452,Fringe Area,Category 2,>100 - 200,53.83,Q3 2012
453,Fringe Area,Category 2,>1000,58.77,Q3 2012
454,Fringe Area,Category 2,>200 - 500,59.21,Q3 2012
455,Fringe Area,Category 2,>500 - 1000,68.05,Q3 2012
456,Fringe Area,Category 2,100 & Below,45.21,Q4 2012
457,Fringe Area,Category 2,>100 - 200,47.51,Q4 2012
458,Fringe Area,Category 2,>1000,60.82,Q4 2012
459,Fringe Area,Category 2,>200 - 500,63.67,Q4 2012
460,Fringe Area,Category 2,>500 - 1000,68.4,Q4 2012
461,Fringe Area,Category 2,100 & Below,46.29,Q1 2013
462,Fringe Area,Category 2,>100 - 200,48.56,Q1 2013
463,Fringe Area,Category 2,>1000,48.87,Q1 2013
464,Fringe Area,Category 2,>200 - 500,44.67,Q1 2013
465,Fringe Area,Category 2,>500 - 1000,56.77,Q1 2013
466,Fringe Area,Category 2,100 & Below,48.08,Q2 2013
